DIT ID;DIT Main Category;DIT Sub Category;Language;Descriptions
2602;Project Management, Marketing and Admin;Advertising, Market Research and PR;en;Advertising agencies and services including activities around marketing campaigns and product promotion. Media representation, market research, public opinion polling, and public relations and communication activities.
2603;Project Management, Marketing and Admin;Management Consulting;en;Management consultancy activities, typically involving giving guidance and operational assistance to businesses to help them in planning, organisation, efficiency, etc. Excluding public relations and communication activities. 
2604;Project Management, Marketing and Admin;Holding Companies;en;Activities of head offices and holding companies that oversee or manage other company units. These typically involve organisational planning and decision making activities.
2699;Project Management, Marketing and Admin;Other (Project Management, Marketing and Admin);en;Other project management, marketing or administration activities not included in another category, including regulation of business operations and administration of public policies.
2700;Employment, Recruitment, HR;;en;
2701;Employment, Recruitment, HR;Employment and Human Resources;en;Employment activities including recruitment agencies, temping agencies and human resources provision.
2800;Science and Engineering;;en;
2801;Science and Engineering;Engineers;en;Engineering activities, technical consultancy, and scientific research and development, including surveying & mapping services and technical testing. Repair and installation of machinery and equipment, e.g. boiler cleaning, and servicing & repair of vending machines. Excludes repair and maintenance of transport equipment, computers and clothing accessories.
2802;Science and Engineering;Scientific Activities;en;Scientific activities, excluding research and development. Including quantity surveyors, environmental consulting, weather forecasting activities and patent brokerage.
2899;Science and Engineering;Other (Science and Engineering);en;Other scientific or engineering activities not included in another category.
2900;Legal, Public Order, Security;;en;
2901;Legal, Public Order, Security;Legal Services;en;Legal representation and document preparation, including conveyancing, drawing up of wills, advising clients on legal matters and other activities of barristers and solicitors.
2902;Legal, Public Order, Security;Security;en;Security & investigation activities, including bodyguard services, security systems/burglar alarms/CCTV activities, locksmiths and private investigators.
2903;Legal, Public Order, Security;Defence, Public Order and Safety;en;Provision of services to the community as a whole, including foreign affairs, defence, police forces and fire fighting services.
2999;Legal, Public Order, Security;Other (Legal, Public Order, Security);en;Other legal, puclic order or security services not included in another category.
3000;Cleaning and Facility Management Services;;en;
3001;Cleaning and Facility Management Services;Cleaning, Landscaping and Building Maintenance;en;Facilities support activities including commercial & domestic cleaning of buildings, sale of cleaning equipment, upholstery cleaners, chimney sweeps, launderettes, window cleaners and decontamination services. Planting and maintenance of parks, gardens and greenery (e.g. landscapers, gardeners and fencers).
3099;Cleaning and Facility Management Services;Other (Cleaning and Caretaking Services);en;Other cleaning or caretaking services not included in another category.
3100;Education;;en;
3101;Education;Pre-School & Childcare;en;Pre-school education and childcare including childminders, creches and nursery schools.
3102;Education;Schools, Colleges & Universities;en;Formal education including schools, colleges, academies and universities.
