type;id;website-category_id;maincategory;subcategory;lang;description
categories;1207;1207;Manufacturing ;"Manufacturing of Furniture and Appliances
";en;Manufacture of furniture and appliances, including finishing activities like upholstery of seats.
categories;1208;1208;Manufacturing ;Manufacturing of Healthcare and Medical products;en;Manufacture of pharmaceutical products, medicines and medical equipment. Also includes the processing of blood.
categories;1209;1209;Manufacturing ;Manufacturing of Information Technology and Telecommunications Goods;en;Manufacture of computers & peripheral equipment, communication equipment and consumer electronics. Manufacture of electronic components and boards.
categories;1210;1210;Manufacturing ;Manufacturing of Leisure Equipment;en;Manufacture of musical instruments, sports goods, games, toys and other leisure equipment.
categories;1211;1211;Manufacturing ;Manufacturing of Machinery and Equipment;en;Manufacture of machinery and equipment excluding items used predominantly for construction, agriculture or food/textile manufacturing. Including lifting equipment, power-driven hand tools and retreading machines.
categories;1212;1212;Manufacturing ;Manufacturing of Metal Products;en;Manufacture of metal products excluding items used predominantly in construction, energy production/utilities, or transportation/storage. Including manufacture of weapons, forging and machining.
categories;1213;1213;Manufacturing ;Manufacturing of Motor Vehicles;en;Manufacture of cars and car accessories, including tyres, trailers and electrical equipment. Excluding motorcycles and other forms of transport.
categories;1214;1214;Manufacturing ;Manufacturing of Non-Electrical Consumer Goods;en;Manufacture of various other non-electrical consumer goods including safety equipment, umbrellas, pens, candles, coins and cigarette lighters.
categories;1215;1215;Manufacturing ;Manufacturing of Raw Materials and Parts;en;Manufacture of components and raw materials, including products made from rubber, plastic, glass and ceramics, and manufacture of basic metals. Excluding tyres, and construction equipment and materials.
categories;1216;1216;Manufacturing ;Manufacturing of Transportation Equipment;en;Manufacture of modes of transportation (excluding cars) and related equipment, and storage equipment such as steel drums and packaging.
categories;1217;1217;Manufacturing ;Manufacturing of Wood and Paper Products;en;Manufacture of various wooden or paper products for use in the home, including wooden statuettes and ornaments, baskets, picture frames and sanitary products. Manufacture of/from pulp, paper and paperboard, and manufacture of paper stationary.
categories;1299;1299;Manufacturing ;Other (Manufacturing);en;Other manufacturing activities not included in another category
categories;1301;1301;Energy and Utility Suppliers;Electricity;en;Electricity generation services including production, transmission, distribution and trade. Also includes manufacture of apparatus for electricity generation and distribution.
categories;1302;1302;Energy and Utility Suppliers;Gas;en;Gas distribution services, including manufacture, supply and trade.
categories;1303;1303;Energy and Utility Suppliers;Water Supply;en;Water collection, treatment & supply, and sewerage activities.
categories;1304;1304;Energy and Utility Suppliers;Waste Collection, Treatment and Disposal Activities;en;Waste collection, treatment & disposal, as well as recovery of materials and decontamination activities. Includes car & vehicle dismantlers, asbestos removal and recycling.
categories;1401;1401;Construction;Architects & Planners;en;Architectural services (e.g. urban design, structural building design and building surveyors).
categories;1402;1402;Construction;Development of Building Projects;en;Construction of residential and non-residential buildings, including construction of extensions and attic/garage conversions. Project management of building projects. Demolition and site preparation services including excavation, test drilling and clearing of building sites.
categories;1403;1403;Construction;Development of Infrastructure Projects;en;Project management and construction of roads, railways, and other infrastructure & civil engineering projects. Including sports facilities, and utility and water projects (e.g. reservoirs, power plants, harbours). Also includes related activies like painting of road markings.
categories;1404;1404;Construction;Electrical Installation;en;Electrical installation, including electricians, lighting experts, PAT testing services, aerial/network specialists and installation of solar panels.
categories;1405;1405;Construction;Plumbing, Heating and Air-Conditioning Installation;en;Plumbing, heating and air-conditioning services, including plumbers, drainage specialists, heating engineers and bathroom & swimming pool specialists.
categories;1406;1406;Construction;Roofing Activities;en;Roofing activities including roof erection, guttering and roof tiling, slating and thatching.
categories;1407;1407;Construction;Painting and Glazing;en;Painting and glazing services, including: painters & decorators, glazers (fitters of windows & mirrors), stained glass specialists and conservatory construction.
categories;1408;1408;Construction;Floor and Wall Covering;en;Floor and wall covering services, including laying, tiling, hanging or fitting of tiles, wallpaper, interior cladding and carpets.
categories;1409;1409;Construction;Plastering;en;Plastering and rendering services including application of stucco and other lathing materials.
categories;1410;1410;Construction;Joinery Installation;en;Joinery installation including carpentry, joinery, kitchen/bedroom/shop design & installation, and installers of doors and staircases.
categories;1411;1411;Construction;Rental of Construction and Earthmoving Machinery;en;Renting & leasing of construction equipment/machinery without erection/operator, including crane lorries, scaffolding and machine tools.
categories;1499;1499;Construction;Other (Construction);en;Other construction activities including access/scaffolding suppliers, construction of foundations, damp proofing, installation of elevators, revolving doors, lightning conductors and cleaning following construction. Other construction-related organisations not included in other categories. 
categories;1501;1501;Automotive;Sale of Motor Vehicles;en;Sale of motor vehicles (e.g. car dealerships).
categories;1502;1502;Automotive;Maintenance and Repair of Motor Vehicles;en;Maintenance and repair of motor vehicles including breakdown recovery, car repairs, car servicing, mechanics, auto engineers and petrol stations.
categories;1503;1503;Automotive;Rental of Motor Vehicles;en;Rental of motor vehicles (including cars, trucks and recreational vehicles) without a driver.
categories;1504;1504;Automotive;Sale, Maintenance and Repair of Motorcycles and Related Parts and Accessories;en;Motorcycle sales, repairs & services including sale of parts and accessories.
categories;1505;1505;Automotive;Trade of Motor Vehicle Parts and Accessories;en;Wholesale & retail trade of car accessories, parts & electrics (excludes retail of fuel).
categories;1599;1599;Automotive;Other (Automotive);en;Other automotive services not included in another category.
categories;1601;1601;Trade;General Mixed Trade;en;Retail and wholsale of mixed goods or specialised goods not included in another category, e.g. retail through vending machines, mail order and online shops. Excludes supermarkets where food and drink products dominate.
categories;1602;1602;Trade;Sale of Agricultural, Forestry and Gardening Supplies;en;Sale of agricultural equipment, materials and supplies, including sale of live animals, flowers and plants at garden centres/nurseries and pet shops. Wholesale of grains and animal feeds.
categories;1603;1603;Trade;Sale of Clothes and Accessories;en;Wholesale/retail of textiles, clothing, fur, footwear and leather goods. Including retail blinds and carperts, retail of clocks & watches, jewellers, bridal shops & dressmakers, and fancy dress shops. Repair of clocks, watches, footwear and leather goods as well as washing and dry cleaning of clothing and textiles.
categories;1604;1604;Trade;Sale of Construction Products;en;Sale of parts that are integral to a building including builder's merchants and bathroom showrooms. Retail of construction machinery and equipment including DIY stores.
categories;1605;1605;Trade;Sale of Electronics and Consumer goods;en;Retail, repair and parts of electrical household appliances and consumer electronics.
categories;1606;1606;Trade;Sale of Food Products;en;Sale of food, beverages and tobacco, either from a physical shop or an online retailer, excluding food manufacturers such as bakeries. E.g. farm shops, butchers, sweet shops, health food shops, off-licenses and wine merchants.
categories;1607;1607;Trade;Sale of Furniture and Appliances;en;Retail, wholesale, rental and repair of furniture & household goods, including antique dealers, auction rooms, reupholstery, piano-tuning and keycutting services.
categories;1608;1608;Trade;Sale of Industrial Products;en;Retail of industrial products including fuels, metals, chemical, rubber and plastic products.
categories;1609;1609;Trade;Sale of Information Technology and Telecommunications goods;en;Wholesale, retail and repair of IT and telecommunication goods, including hardware, software, microchips, games consoles, mobile phones, televisions and aerial supplies.
categories;1610;1610;Trade;Sale of Leisure Equipment;en;Retail of leisure equipment, including art & craft shops, cycle shops, toy & model shops, and party supplies
categories;1611;1611;Trade;Sale of Machinery and Equipment;en;Retail and wholesale of machinery, industrial equipment, ships and aircraft. Wholesale of machinery & equipment.
categories;1612;1612;Trade;Sale of Medical and Pharmaceutical products;en;Wholesale and retail of pharmaceutical, medical and orthopaedic goods including dispensing chemists.
categories;1613;1613;Trade;Sale of Published Goods;en;Retail of books, newspapers and stationary.
categories;1699;1699;Trade;Other (Trade);en;Other retail or wholesale services not included in another category.
categories;1701;1701;Transportation;Transport of Persons;en;Passenger air transport, including scheduled & charter flights, aero clubs and sightseeing flights. Passenger transport by land or water, including taxi operation, coach hire and railways.
categories;1702;1702;Transportation;Transport of Freight;en;Transport of goods by rail, air, land, pipeline, water or space, and space transport of passengers. Renting & leasing of air transport equipment. Services related to freight transport and storage activities including production of storage containers, repair of transportation, removals & storage, house clearance and packaging activities. Postal & courier activities, such as pickup, transport and delivery of letters and parcels.
categories;1799;1799;Transportation;Other (Transportation);en;Other transportation activities not included in another category.
categories;1801;1801;Tourism and Accommodation;Hotels, Guest Houses and Hostels;en;Short stay accommodation with services (cleaning, food, etc) available. Including bed & breakfasts, independent hotels & hotel chains, youth hostels, guest houses and motels.
categories;1802;1802;Tourism and Accommodation;Self-Catered Acommodation;en;Self-contained short-stay accmmodation, including holiday cottages, villas and chalets.
categories;1803;1803;Tourism and Accommodation;Camp Sites and Caravan Parks;en;Camp sites, caravan parks, holiday centres and villages.
categories;1804;1804;Tourism and Accommodation;Travel Agency and Tour Operators;en;Tourist activities, such as sightseeing trips and leisure activities that are targeted at holiday-makers, event ticket retailers, tourist locations and event venues. Travel agency activities, including retail/booking of travel, tour, and accommodation services.
categories;1899;1899;Tourism and Accommodation;Other (Tourism and Accommodation);en;Other tourism activities and accommodation not included in another category, including student residences, boarding houses, and websites primarily offering tourism-related information as a service.
categories;1901;1901;Restaurants, Bars, Cafes, Catering;Restaurants, Cafes, Food Stands, Canteens;en;Cafes and restaurants, distinguished as specialising in non-alcoholic drinks (e.g. tea or coffee) and/or food and allowing customers to eat/drink on-site. Retailers of meals/snacks that are 'ready to eat' but who do not allow customers to eat on-site, e.g. takeaways.
categories;1902;1902;Restaurants, Bars, Cafes, Catering;Bars ;en;Beverage serving activities, including public houses (pubs), bars, taverns, nightclubs etc. characterised as having an area for social drinking, unlike restaurants which are primarily for eating.
categories;1903;1903;Restaurants, Bars, Cafes, Catering;Event Catering;en;Event catering activities, usually on a contract-basis.
categories;1999;1999;Restaurants, Bars, Cafes, Catering;Other (Restaurants, Bars, Cafes, Catering);en;Other restaurants, bars, cafes or catering activities not included in another category.
categories;2001;2001;Publishing, Printing and Photography;Publishing & Printing;en;Publishing of books, directories, mailing lists, journals, periodicals, newspapers, greeting cards and related activities. Printing, reproduction of recorded media and related activities. Includes printing onto textiles and binding activities.
categories;2002;2002;Publishing, Printing and Photography;Design & Photography;en;Specialised design activities from a range of disciplines, including fashion design, industrial design, graphic design and interior decorators. Photographic activities including portrait and specialist photography, and film processing.
categories;2101;2101;Leisure & Entertainment;Cultural & Arts;en;Creative arts and entertainment activities, including libraries, theatre, music and writing. Cultural and natural tourist attractions, including museums, galleries, historical sites, zoos and botanical gardens. Excludes sports, general recreational activities, gambling and commercial art galleries.
categories;2102;2102;Leisure & Entertainment;Television, Film & Music Production;en;Production and distribution of television, film, sound and music, including radio and television broadcasting and activities of cinemas.
categories;2103;2103;Leisure & Entertainment;Sport;en;Sports activities including sports facilities & clubs, fitness facilities such as gyms, health clubs and leisure centres, and recreational fishing, hunting and racing.
categories;2104;2104;Leisure & Entertainment;Gambling & Betting;en;Gambling & betting activities, including bookmakers, casinos and lottery ticket retailers.
categories;2105;2105;Leisure & Entertainment;Adult Entertainment;en;Adult entertainment intended to be used by adults only, typically including sexual content. Including sex shops, strip clubs and pornography.
categories;2199;2199;Leisure & Entertainment;Other (Leisure & Entertainment);en;Other leisure activities not included elsewhere, including rental of recreational goods & media, massage parlours, discos, night clubs, amusement/theme parks and other recreational/physical well-being activities.
categories;2201;2201;Beauty and Perfume;Beauty and Perfume;en;Production and retail of perfumes, essential oils and beauty products (e.g. shampoos, deodorants, suntan lotion). Hairdressing and other beauty treatment including beauty therapists, nail technicians and barbers.
categories;2301;2301;IT;IT;en;Telecommunication activities including telephone, television & internet networks, and wireless & satellite infrastructure. Computer programming activities including web development, database administration and software development. Computer consultancy activities including the design of computer systems, but excluding the sale and installation of computer equipment.
categories;2401;2401;Financial Services and Insurance;Financial Service;en;Financial services excluding insurance and pension funding. Including banks, financial advisors, holding companies, mortgage brokers and actuarial services.
categories;2402;2402;Financial Services and Insurance;Insurance and Pension Funding;en;Insurance services and pension funding, excluding compulsory social security schemes.
categories;2403;2403;Financial Services and Insurance;Accounting Services;en;Accounting services, including bookkeeping, auditing activities and tax consultancy.
categories;2499;2499;Financial Services and Insurance;Other (Financial Service);en;Other financial and insurance services not included in another category.
categories;2501;2501;Real Estate;Real Estate;en;Buying, selling, renting and operating of own real estate, and management of real estate. Includes housing associations and trusts. Real estate agencies and letting agents.
categories;2601;2601;Project Management, Marketing and Admin;Office Admin and Support ;en;Office administrative and support activities, call centres, conventions and trade show organisation, and other business supprt activities, such as translation and interpretation services, administration of loyalty programmes, independent auctioneers. Excluding collection agencies, credit bureaux or packaging activities.
categories;2602;2602;Project Management, Marketing and Admin;Advertising, Market Research and PR;en;Advertising agencies and services including activities around marketing campaigns and product promotion. Media representation, market research, public opinion polling, and public relations and communication activities.
categories;2603;2603;Project Management, Marketing and Admin;Management Consulting;en;Management consultancy activities, typically involving giving guidance and operational assistance to businesses to help them in planning, organisation, efficiency, etc. Excluding public relations and communication activities. 
categories;2604;2604;Project Management, Marketing and Admin;Holding Companies;en;Activities of head offices and holding companies that oversee or manage other company units. These typically involve organisational planning and decision making activities.
categories;2699;2699;Project Management, Marketing and Admin;Other (Project Management, Marketing and Admin);en;Other project management, marketing or administration activities not included in another category, including regulation of business operations and administration of public policies.
categories;2701;2701;Employment, Recruitment, HR;Employment and Human Resources;en;Employment activities including recruitment agencies, temping agencies and human resources provision.
categories;2801;2801;Science and Engineering;Engineers;en;Engineering activities, technical consultancy, and scientific research and development, including surveying & mapping services and technical testing. Repair and installation of machinery and equipment, e.g. boiler cleaning, and servicing & repair of vending machines. Excludes repair and maintenance of transport equipment, computers and clothing accessories.
categories;2802;2802;Science and Engineering;Scientific Activities;en;Scientific activities, excluding research and development. Including quantity surveyors, environmental consulting, weather forecasting activities and patent brokerage.
categories;2899;2899;Science and Engineering;Other (Science and Engineering);en;Other scientific or engineering activities not included in another category.
categories;2901;2901;Legal, Public Order, Security;Legal Services;en;Legal representation and document preparation, including conveyancing, drawing up of wills, advising clients on legal matters and other activities of barristers and solicitors.
categories;2902;2902;Legal, Public Order, Security;Security;en;Security & investigation activities, including bodyguard services, security systems/burglar alarms/CCTV activities, locksmiths and private investigators.
categories;2903;2903;Legal, Public Order, Security;Defence, Public Order and Safety;en;Provision of services to the community as a whole, including foreign affairs, defence, police forces and fire fighting services.
categories;2999;2999;Legal, Public Order, Security;Other (Legal, Public Order, Security);en;Other legal, puclic order or security services not included in another category.
categories;3001;3001;Cleaning and Facility Management Services;Cleaning, Landscaping and Building Maintenance;en;Facilities support activities including commercial & domestic cleaning of buildings, sale of cleaning equipment, upholstery cleaners, chimney sweeps, launderettes, window cleaners and decontamination services. Planting and maintenance of parks, gardens and greenery (e.g. landscapers, gardeners and fencers).
categories;3099;3099;Cleaning and Facility Management Services;Other (Cleaning and Caretaking Services);en;Other cleaning or caretaking services not included in another category.
categories;3101;3101;Education;Pre-School & Childcare;en;Pre-school education and childcare including childminders, creches and nursery schools.
categories;3102;3102;Education;Schools, Colleges & Universities;en;Formal education including schools, colleges, academies and universities.
categories;3199;3199;Education;Other (Education);en;Other Types of Education. Informal education provided outside of the school and higher education system. Including education in sports, recreational activities, arts, drama, music, driving lessons, academic tutoring and lifeguard training. Other educational support activities, including student exchange programs and educational counselling.
categories;3201;3201;Healthcare;Medical Practices;en;Hospitals and medical practices, including family planning centres. Excluding vets and dentists.
categories;3202;3202;Healthcare;Dentists;en;Dental activities including dentists, orthodontists and oral pathologists.
categories;3203;3203;Healthcare;Vets;en;Animal health care activities carried out by qualified vets, excluding activities relating to artificial insemination.
categories;3204;3204;Healthcare;Residential Care;en;Residential care activities, including orphanages, homeless shelters, juvenile correction homes, nursing homes, rehabilitation clinics and retirement communities.
categories;3299;3299;Healthcare;Other (Healthcare);en;Other Types of Healthcare Provision. Specialist healthcare activities not included in other categories, e.g. opticians, occupational therapy, chiropody, homeopathy and physiotherapy.
categories;3301;3301;Community Groups, Social, Political and Religious;Governmental Administration and Regulation;en;Public administration and regulatory bodies (e.g. customs administration, tax collection and administration of government-provided retirement pensions). Extraterratorial organisations e.g. UN, WHO and EC.
categories;3302;3302;Community Groups, Social, Political and Religious;Religious Organisations;en;Religious organisations including churches, mosques, temples, synagogues, and religious retreats.
categories;3399;3399;Community Groups, Social, Political and Religious;Other (Community Groups, Social, Political and Religious);en;Other community groups, social, political services not included in another category.
categories;3401;3401;Personal Services;Residential Cleaning;en;Residential cleaning activities by individuals/small companies.
categories;3402;3402;Personal Services;Pet Services;en;Pet services including, boarding, grooming, sitting and training of pets.
categories;3499;3499;Personal Services;Other (Personal Services);en;Other personal services not included elsewhere, spiritualist/astrological activities, social activities (dating & escort services, marriage bureaux), shoe shiners and valet car parkers.
